artistName,trackName,Minutes Played
Taylor Swift,You Belong With Me,2.58
Taylor Swift,You Belong With Me,1.28
Taylor Swift,evermore (feat. Bon Iver),1.11
Taylor Swift,Tim McGraw,0.0
Taylor Swift,exile (feat. Bon Iver),0.22
Taylor Swift,Dear John,0.11
Taylor Swift,Tim McGraw,3.87
Taylor Swift,Teardrops On My Guitar - Radio Single Remix,3.38
Taylor Swift,Love Story,3.92
Taylor Swift,exile (feat. Bon Iver),4.76
Taylor Swift,this is me trying,3.25
Taylor Swift,You Belong With Me,3.85
Taylor Swift,peace,2.43
Taylor Swift,peace,0.37
Taylor Swift,evermore (feat. Bon Iver),5.07
Taylor Swift,ME! (feat. Brendon Urie of Panic! At The Disco),3.22
Taylor Swift,Love Story,1.5
Taylor Swift,Love Story,4.37
Taylor Swift,willow,3.58
Taylor Swift,exile (feat. Bon Iver),4.76
Taylor Swift,Teardrops On My Guitar - Radio Single Remix,3.38
Taylor Swift,Tim McGraw,3.87
Taylor Swift,this is me trying,3.25
Taylor Swift,tolerate it,3.4
Taylor Swift,Red,1.81
Taylor Swift,Red,1.91
Taylor Swift,Teardrops On My Guitar - Radio Single Remix,3.38
Taylor Swift,cardigan,0.31
Taylor Swift,the 1,0.4
Taylor Swift,You Belong With Me,3.85
Taylor Swift,Love Story,3.92
Taylor Swift,Enchanted,5.87
Taylor Swift,evermore (feat. Bon Iver),5.07
Taylor Swift,ME! (feat. Brendon Urie of Panic! At The Disco),1.37
Taylor Swift,I Forgot That You Existed,0.18
Taylor Swift,I Think He Knows,1.43
Taylor Swift,Death By A Thousand Cuts,3.31
Taylor Swift,Afterglow,1.53
Taylor Swift,Teardrops On My Guitar - Radio Single Remix,0.06
Taylor Swift,Tim McGraw,2.02
Rihanna,Umbrella,0.27
Rihanna,Love On The Brain,0.36
Eminem,Love The Way You Lie,0.74
Taylor Swift,Invisible,3.39
Taylor Swift,Our Song,3.3
Taylor Swift,Enchanted,0.03
Taylor Swift,willow,3.58
Taylor Swift,You Belong With Me,3.85
Taylor Swift,exile (feat. Bon Iver),2.53
Taylor Swift,willow,3.58
Taylor Swift,this is me trying,3.25
Taylor Swift,exile (feat. Bon Iver),1.58
Taylor Swift,Enchanted,2.03
Taylor Swift,hoax,0.01
Taylor Swift,Enchanted,1.8
Taylor Swift,Tell Me Why,1.08
Taylor Swift,Red,0.79
Taylor Swift,champagne problems,4.07
Taylor Swift,gold rush,0.81
Taylor Swift,gold rush,2.28
Taylor Swift,‘tis the damn season,1.11
Taylor Swift,Teardrops On My Guitar - Radio Single Remix,3.38
Taylor Swift,Love Story,3.92
Taylor Swift,Enchanted,0.18
