artist,album,track,uri
Taylor Swift,Speak Now,Innocent,spotify:track:0mTgFzkDgSAF3nJY25XCXG
Taylor Swift,Lover,Afterglow,spotify:track:1SymEzIT3H8UZfibCs3TYi
Lewis Capaldi,Divinely Uninspired To A Hellish Extent,Someone You Loved,spotify:track:7qEHsqek33rTcFNT9PFqLf
Jonny Glenn,Don't Wanna Let You Down,Don't Wanna Let You Down,spotify:track:5LWN8bfW9gwf0kBOGZH3Zd
Camila Cabello,Romance,Shameless,spotify:track:2ogKhhoMClkFXek7ZgxAhN
Taylor Swift,Red,Everything Has Changed,spotify:track:5PjfMmF06QtxTPZBZHdhoZ
Samuel E. Wright,Little Mermaid,"Kiss the Girl - From ""The Little Mermaid""/ Soundtrack Version",spotify:track:4HGIPyqDxSf863tPOwXiLJ
Lea Salonga,Aladdin: Special Edition Soundtrack,A Whole New World,spotify:track:506nvAQgHmkGd13ipZuBwo
Taylor Swift,Red,I Almost Do,spotify:track:1eyqSYBCTane4rl4vc6PWJ
CÃ©line Dion,A New Day Has Come,I'm Alive,spotify:track:2FTZeRHQ4gRPViPMpWL9uX
Adele,25,Hello,spotify:track:1Yk0cQdMLx5RzzFTYwmuld
Taylor Swift,Taylor Swift,Teardrops on My Guitar - Pop Version,spotify:track:1hxLyjC9D9Jpw6EAPKqWv4
Taylor Swift,folklore,cardigan,spotify:track:4R2kfaDFhslZEMJqAFNpdd
Camila Cabello,Living Proof,Living Proof,spotify:track:1jg9clsGCDqOumfS0X5xm9
Taylor Swift,reputation,Getaway Car,spotify:track:0VE4kBnHJUgtMf0dy6DRmW
Taylor Swift,1989,Clean,spotify:track:2k43eySbfpDVx0PrO99UI8
Tape Machines,Lost You,Lost You,spotify:track:57xregURRCrNl7IHUp6Qco
Ed Sheeran,Ã·,Shape of You,spotify:track:7qiZfU4dY1lWllzX7mPBI3
Taylor Swift,1989,Blank Space,spotify:track:1u8c2t2Cy7UBoG4ArRcF5g
Justin Bieber,Hold On,Hold On,spotify:track:4u4NyuceXP7Uzh7XFJKCr1
Robby Benson,Beauty and the Beast,"Something There - From ""Beauty and the Beast""/Soundtrack Version",spotify:track:6mDxu0xwhv5tn1oMTNUypu
Ed Sheeran,x,Photograph,spotify:track:1HNkqx9Ahdgi1Ixy2xkKkL
Taylor Swift,Red,The Moment I Knew,spotify:track:4qTAwKJQ68gmnrnfPD3vlO
Taylor Swift,Lover,Lover,spotify:track:1dGr1c8CrMLDpV6mPbImSI
Lady Gaga,Chromatica,Rain On Me (with Ariana Grande),spotify:track:7ju97lgwC2rKQ6wwsf9no9
Harry Styles,Fine Line,Watermelon Sugar,spotify:track:6UelLqGlWMcVH1E5c4H7lY
CÃ©line Dion,Let's Talk About Love,"My Heart Will Go On - Love Theme from ""Titanic""",spotify:track:33LC84JgLvK2KuW43MfaNq
Taylor Swift,Speak Now,Enchanted,spotify:track:04S1pkp1VaIqjg8zZqknR5
Taylor Swift,folklore,august,spotify:track:3hUxzQpSfdDqwM3ZTFQY0K
Taylor Swift,Fearless (Taylor's Version),You All Over Me (feat. Maren Morris) (Taylorâ€™s Version) (From The Vault),spotify:track:4CHpVfAhuxNJ3ibExe6kxO
Justin Bieber,Under The Mistletoe,Mistletoe,spotify:track:7xapw9Oy21WpfEcib2ErSA
Alan Walker,Different World,Sing Me to Sleep,spotify:track:1tfVpMI8G6EakZU4rEja4w
Ed Sheeran,+,The A Team,spotify:track:1VdZ0vKfR5jneCmWIUAMxK
Dan + Shay,"10,000 Hours (with Justin Bieber)","10,000 Hours (with Justin Bieber)",spotify:track:2wrJq5XKLnmhRXHIAf9xBa
Idina Menzel,Frozen,"Let It Go - From ""Frozen""/Soundtrack Version",spotify:track:0qcr5FMsEO85NAQjrlDRKo
Dua Lipa,Future Nostalgia,Levitating,spotify:track:39LLxExYz6ewLAcYrzQQyP
Maren Morris,GIRL,The Feels,spotify:track:4c10Mtlt9dPeKvP61sicAs
Miranda Lambert,Wildcard,Bluebird,spotify:track:0kPeZAyIhIfeZNrtfjJGDB
Cheryl Freeman,Hercules,A Star Is Born,spotify:track:6cLZAx9Q9ZIa0oeLPkSLRM
Taylor Swift,Red,I Knew You Were Trouble.,spotify:track:3lKZf71jeNi14udIFPJ29V
Glenn Close,Tarzan,You'll Be In My Heart,spotify:track:7C11GdiguhLd9j7Y6jHFm9
Susan Egan,Hercules,I Won't Say (I'm In Love),spotify:track:1HSJMLtNeDryJN76Tu5Ahf
Justin Bieber,Purpose,Life Is Worth Living,spotify:track:4yWCzA44dQyp0SoeM81bUb
CÃ©line Dion,The Colour Of My Love,The Power of Love,spotify:track:5kK1Iru9ogP3Iy1zsANU1n
Taylor Swift,folklore,hoax,spotify:track:6MWoRt97mnSTXZhu3ggi9C
Auli'i Cravalho,Moana,How Far I'll Go,spotify:track:1ERshJBUZysordGDZr5B3t
Shawn Mendes,Illuminate,There's Nothing Holdin' Me Back,spotify:track:7JJmb5XwzOO8jgpou264Ml
CÃ©line Dion,A New Day Has Come,Sorry for Love,spotify:track:21CY2eITFdWkKFrAZOWRNq
Justin Bieber,Purpose,Purpose,spotify:track:2IjyFRCRn8x1bEquOM3vxg
Shawn Mendes,Shawn Mendes,Where Were You In The Morning?,spotify:track:376Gg7Oxo5C5jUWDWpVXeI
Britney Spears,Oops!... I Did It Again,Oops!...I Did It Again,spotify:track:6naxalmIoLFWR0siv8dnQQ
